sdg_id,title,short_description,long_description,sdg_codes,initials
khm2_0981,ARES-CCD Programme d appui institutionnel des universitÃˆs francophones 2014 - Cambodge,ARES-CCD PROGRAMME D APPUI INSTITUTIONNEL DES UNIVERSITâ€_S FRANCOPHONES 2014 - CAMBODGE,"Background:  L'instrument d'Appui institutionnel remplace l'instrument de coopÃˆration universitaire institutionnelle (CUI), dont il reprend l'essentiel des caractÃˆristiques tout en Ãˆtant recentrÃˆ sur l'aspect prÃˆcisÃˆment institutionnel.Il repose sur le principe d'une collaboration privilÃˆgiÃˆe avec un nombre restreint d'universitÃˆs partenaires du Sud et doit permettre d'apporter une rÃˆponse aux facteurs limitants qui entravent l'institution partenaire dans l'exercice de son rÃ™le d'acteur du dÃˆveloppement : relÃ‹ve acadÃˆmique, culture de la recherche et interaction avec la sociÃˆtÃˆ dÃˆfaillantes. - General objective:  L'objectif gÃˆnÃˆral de renforcement des capacitÃˆs institutionnelles des universitÃˆs partenaires se rÃˆalise, par : l appui â€¡ la mise en place de filiÃ‹res de formation, pertinentes pour le dÃˆveloppement et l'adaptation de la sociÃˆtÃˆ aux changements,l'appui â€¡ la mise en place de pÃ™les de formation spÃˆcialisÃˆs, â€¡ portÃˆe rÃˆgionale, l appui â€¡ la relÃ‹ve acadÃˆmique par la formation et le recyclage des enseignants,l appui aux ressources documentaires et â€¡ la bonne gouvernance des institutions universitaires. - Specific objective:  Dix huit  institutions partenaires bÃˆnÃˆficient d'un appui institutionnel dans 15 pays parmi lesquels le Cambodge :MAROCUniversitÃˆ Mohamed 1er â€¡ Oujda SENEGALUniversitÃˆ Cheikh Anta DiopBENIN UniversitÃˆ d'Abomey Calavi BURKINA FASO UniversitÃˆ de Ouagadougou NIGERUniversitÃˆ Abdou MoumouniBURUNDI UniversitÃˆ nationale du Burundi R.D. CONGOUniversitÃˆ de Kinshasa ,UniversitÃˆ de Lubumbashi,CEDESURKRWANDA UniversitÃˆ nationale du Rwanda MADAGASCARUniversitÃˆ d'Antananarivo, UniversitÃˆ de TulÃˆarCAMBODGE Institut de Technologie du Cambodge VIETNAMUniversitÃˆ agronomique nâˆ_1, Hanoi, UniversitÃˆ Pham Ngoc Thach (santÃˆ), Ho Chi Minh -VilleBOLIVIE UniversitÃˆ d'Etat Mayor de San Simon, Cochabamba EQUATEURUniversidad central del EcuadorPEROU Universidad San Antonio Abad, Cusco HAITIUniversitÃˆ d'Etat d'HaÃ”ti De plus des pÃ™les de formation spÃˆcialisÃˆs, â€¡ portÃˆe rÃˆgionale sont organisÃˆs dans plusieurs des universitÃˆs partenaires : BENIN  - UniversitÃˆ d Abomey -CalaviÂ´Master professionnel en gestion des ressources naturelles et de la biodiversitÃˆÂªPromoteur : Jan  BOGAERTS, UniversitÃˆ Libre de Bruxelles (ULB)BENIN Ã± Institut de Recherche en SantÃˆ Publique â€¡ OuidahÂ´ Master en qualitÃˆ des soins et gestion des services de santÃˆ Âª       Promoteur : Bruno  DUJARDIN, UniversitÃˆ Libre de Bruxelles (ULB)SENEGAL  - UniversitÃˆ Cheikh Anta Diop, Dakar et COTE D'IVOIRE (INP -HB)Â´Stage de formation en management de la qualitÃˆ sanitaire et analyse des risquesÂªPromoteur : Jean -FranÃÅois LEROY, Gembloux Agro -Bio Tech (GxABT).BURUNDI  - UniversitÃˆ du BurundiÂ´Master complÃˆmentaire en journalismeÂª Promoteur : Benoit  GREVISSE, UniversitÃˆ Catholique de Louvain (UCL)MADAGASCAR  - Institut Halieutique et des Sciences marines, UniversitÃˆ de TulÃˆarÂ´Formation spÃˆcialisÃˆe en Ãˆcotourisme et biomanagementÂªPromoteur : Igor EECKHAUT, UniversitÃˆ de Mons Hainaut (UMH)BOLIVIE",,
khm2_0982,ARES-CCD Programme d'appui institutionnel des universitÃˆs francophones 2016 - Cambodge,ARES-CCD PROGRAMME D'APPUI INSTITUTIONNEL DES UNIVERSITâ€_S FRANCOPHONES 2016 - CAMBODGE,ARES-CCD COOPERATION UNIVERSITAIRE  INSTITUTIONNELLE 2016 Cambodge,,
khm2_0983,ARP- New FTFIL for Sustainable Intensification - Agricultural Sector Capacity,ARP- NEW FTFIL FOR SUSTAINABLE INTENSIFICATION - AGRICULTURAL SECTOR CAPACITY,Administrative Modification to set up RfA for FtF IL for Sustainable Intensification,,
khm2_0984,Article 1,ARTICLE 1,Project on LGBT rights and equality issues,,
khm2_0985,ARTICLE 1 - LGBT RIGHTS AND EQUALITY,ARTICLE 1 - LGBT RIGHTS AND EQUALITY,Project on LGBT rights and equality issues,,
khm2_0986,ASEAN  Cyber University Project,ASEAN  CYBER UNIVERSITY PROJECT,"Cambodia, Laos, Myanmar, Vietnam e-Learning capacity-building ASEAN-Korea cooperation in higher education e-learning",,
khm2_0987,ASEAN - Comprehensive Environmental Monitoring,ASEAN - COMPREHENSIVE ENVIRONMENTAL MONITORING,"1. Environmental Monitoring Network (water, air and noise) 2. The history of setting up the environmental monitoring network in Korea 3. Transmission system etc",,
khm2_0988,ASEAN Cool Chain Improvement: Supporting the Delivering Of Small Value Ad Hoc Development Assistance Activities In SE Asian Developing Countries,ASEAN COOL CHAIN IMPROVEMENT: SUPPORTING THE DELIVERING OF SMALL VALUE AD HOC DEVELOPMENT ASSISTANCE ACTIVITIES IN SE ASIAN DEVELOPING COUNTRIES,"The South East Asia Regional Discretionary Fund supports small value ad hoc development assistance activities in developing countries in the South east Asia region. The total value of this initiative is $2.4 million, 2012-13 to 2014-15.",,
khm2_0989,ASEAN Cyber University Project,ASEAN CYBER UNIVERSITY PROJECT,Strengthen e-Learning capacity among CLMV Strengthen e-Learning collaboration with ASEAN,,
khm2_0990,ASEAN Cyber University Project (Capacity Building for Quality e-Learning in ASEAN Higher Education),ASEAN CYBER UNIVERSITY PROJECT (CAPACITY BUILDING FOR QUALITY E-LEARNING IN ASEAN HIGHER EDUCATION),Strengthen e-Learning capacity among CLMVStrengthen e-Learning collaboration with ASEAN,,
khm2_0991,ASEAN Food Security Policy Partnership: To Build The Evidence Base And Intensify Policy Engagement To Encourage Coherent Food Security Policies,ASEAN FOOD SECURITY POLICY PARTNERSHIP: TO BUILD THE EVIDENCE BASE AND INTENSIFY POLICY ENGAGEMENT TO ENCOURAGE COHERENT FOOD SECURITY POLICIES,"Funding under this investment supports the Food and Security Partnership with the Organisation for Economic Cooperation and Development (OECD) for research and policy engagement, which aims to build the evidence base and intensify policy engagement with ASEAN countries to encourage adoption of coherent food security policies that address food security challenges. The total value of this investment is $1.7 million over 4 years, starting 2014-15.",,
khm2_0992,Asean International Organization for Migration Migrant Assistance and Protection Programme,ASEAN INTERNATIONAL ORGANIZATION FOR MIGRATION MIGRANT ASSISTANCE AND PROTECTION PROGRAMME,"United States Population Migration and Refugee Assistance, Appropriation 1143.  Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [International Organisation for Migration]",,
khm2_0993,ASEAN Regional Forum: Humanitarian Assistance and Disaster Relief Workshop,ASEAN REGIONAL FORUM: HUMANITARIAN ASSISTANCE AND DISASTER RELIEF WORKSHOP,"The South East Asia Regional Discretionary Fund supports small value ad hoc development assistance activities in developing countries in the South east Asia region. The total value of this initiative is $2.4 million, 2012-13 to 2014-15.",,
khm2_0994,ASEAN Special Training Program - Land&Housing Development Policy,ASEAN SPECIAL TRAINING PROGRAM - LAND&HOUSING DEVELOPMENT POLICY,To learn recent technological developments and policies on Housing and Urban Development,,
khm2_0995,ASEAN Special Training Program - Processing and Distribution of fisherie,ASEAN SPECIAL TRAINING PROGRAM - PROCESSING AND DISTRIBUTION OF FISHERIE,To improve capacity regarding seafood safety management and HAACP system,,
khm2_0996,ASEAN Special Training Program - Railway Operation,ASEAN SPECIAL TRAINING PROGRAM - RAILWAY OPERATION,To develop a strategic plan that will improve ASEAN's system and infrastructure through establishing action plan,,
khm2_0997,ASEAN Special Training Program-Narcotic Crime Eradication and Internatio,ASEAN SPECIAL TRAINING PROGRAM-NARCOTIC CRIME ERADICATION AND INTERNATIO,Building mid-to-long term roadmap of developing countries for eradicating narcotic crime,,
khm2_0998,ASEAN Special Training Program-Sustainable Water Management,ASEAN SPECIAL TRAINING PROGRAM-SUSTAINABLE WATER MANAGEMENT,Providing ideas for policy and system of sustainable water management,,
khm2_0999,ASEAN-ILO/Korea Training Workshop on Employment Injury Insurance,ASEAN-ILO/KOREA TRAINING WORKSHOP ON EMPLOYMENT INJURY INSURANCE,"The programme is intended to enhance capacity of officials related with employment injury insurance for development of the scheme in ASEAN countries through the collaborations among Korea, ILO and ASEAN Secretariat.",,
khm2_1000,ASEANÃ±Australia Development Cooperation Program II,ASEANÃ±AUSTRALIA DEVELOPMENT COOPERATION PROGRAM II,"The ASEANÃ±Australia Development Cooperation Program  (AADCP II) is the primary vehicle for Australia's regional support for the ASEAN Economic Community (AEC). It supports ASEAN's priorities of advancing economic integration, increasing competitiveness and working to narrow the development gap among ASEAN member states. AADCP II will continue the support provided to ASEAN by contributing to the establishment of the AEC. It will achieve this by: strengthening the ASEAN Secretariat's institutional capacity to effectively implement its mandate; providing timely and high quality economic research and policy advice on priority regional economic integration issues; and supporting regional mechanisms/ capacity for implementation of selected high priority AEC Blueprint activities. As recommended by Midterm review 2012, AADCP II  was extended to another four years. The total value of this initiative is $60 million over 9 years, of which $57 million is granted for the ASEAN Secretariat to implement program activities and $3 million is held by Australian Government for program management costs (monitoring and review, program management staff).",,
khm2_1001,ASEANÃ±Australia Development Cooperation Program II: Monitoring and Evaluation Support,ASEANÃ±AUSTRALIA DEVELOPMENT COOPERATION PROGRAM II: MONITORING AND EVALUATION SUPPORT,"The ASEANÃ±Australia Development Cooperation Program  (AADCP II) is the primary vehicle for Australia's regional support for the ASEAN Economic Community (AEC). It supports ASEAN's priorities of advancing economic integration, increasing competitiveness and working to narrow the development gap among ASEAN member states. AADCP II will continue the support provided to ASEAN by contributing to the establishment of the AEC. It will achieve this by: strengthening the ASEAN Secretariat's institutional capacity to effectively implement its mandate; providing timely and high quality economic research and policy advice on priority regional economic integration issues; and supporting regional mechanisms/ capacity for implementation of selected high priority AEC Blueprint activities. As recommended by Midterm review 2012, AADCP II  was extended to another four years. The total value of this initiative is $60 million over 9 years, of which $57 million is granted for the ASEAN Secretariat to implement program activities and $3 million is held by Australian Government for program management costs (monitoring and review, program management staff).",,
khm2_1002,ASEANÃ±Australia Development Cooperation Program II: Program Management,ASEANÃ±AUSTRALIA DEVELOPMENT COOPERATION PROGRAM II: PROGRAM MANAGEMENT,"The ASEANÃ±Australia Development Cooperation Program  (AADCP II) is the primary vehicle for Australia's regional support for the ASEAN Economic Community (AEC). It supports ASEAN's priorities of advancing economic integration, increasing competitiveness and working to narrow the development gap among ASEAN member states. AADCP II will continue the support provided to ASEAN by contributing to the establishment of the AEC. It will achieve this by: strengthening the ASEAN Secretariat's institutional capacity to effectively implement its mandate; providing timely and high quality economic research and policy advice on priority regional economic integration issues; and supporting regional mechanisms/ capacity for implementation of selected high priority AEC Blueprint activities. As recommended by Midterm review 2012, AADCP II  was extended to another four years. The total value of this initiative is $60 million over 9 years, of which $57 million is granted for the ASEAN Secretariat to implement program activities and $3 million is held by Australian Government for program management costs (monitoring and review, program management staff).",,
khm2_1003,ASEANÃ±Australia Development Cooperation Program Phase II: Implementation,ASEANÃ±AUSTRALIA DEVELOPMENT COOPERATION PROGRAM PHASE II: IMPLEMENTATION,"The ASEANÃ±Australia Development Cooperation Program  (AADCP II) is the primary vehicle for Australia's regional support for the ASEAN Economic Community (AEC). It supports ASEAN's priorities of advancing economic integration, increasing competitiveness and working to narrow the development gap among ASEAN member states. AADCP II will continue the support provided to ASEAN by contributing to the establishment of the AEC. It will achieve this by: strengthening the ASEAN Secretariat's institutional capacity to effectively implement its mandate; providing timely and high quality economic research and policy advice on priority regional economic integration issues; and supporting regional mechanisms/ capacity for implementation of selected high priority AEC Blueprint activities. As recommended by Midterm review 2012, AADCP II  was extended to another four years. The total value of this initiative is $60 million over 9 years, of which $57 million is granted for the ASEAN Secretariat to implement program activities and $3 million is held by Australian Government for program management costs (monitoring and review, program management staff).",,
khm2_1004,ASEANÃ±Australia Development Cooperation Program Phase II: Monitoring And Evaluation,ASEANÃ±AUSTRALIA DEVELOPMENT COOPERATION PROGRAM PHASE II: MONITORING AND EVALUATION,"The ASEANÃ±Australia Development Cooperation Program  (AADCP II) is the primary vehicle for Australia's regional support for the ASEAN Economic Community (AEC). It supports ASEAN's priorities of advancing economic integration, increasing competitiveness and working to narrow the development gap among ASEAN member states. AADCP II will continue the support provided to ASEAN by contributing to the establishment of the AEC. It will achieve this by: strengthening the ASEAN Secretariat's institutional capacity to effectively implement its mandate; providing timely and high quality economic research and policy advice on priority regional economic integration issues; and supporting regional mechanisms/ capacity for implementation of selected high priority AEC Blueprint activities. As recommended by Midterm review 2012, AADCP II  was extended to another four years. The total value of this initiative is $60 million over 9 years, of which $57 million is granted for the ASEAN Secretariat to implement program activities and $3 million is held by Australian Government for program management costs (monitoring and review, program management staff).",,
khm2_1005,ASEANÃ±Australia Development Cooperation Program Phase II: Program Management,ASEANÃ±AUSTRALIA DEVELOPMENT COOPERATION PROGRAM PHASE II: PROGRAM MANAGEMENT,"The ASEANÃ±Australia Development Cooperation Program  (AADCP II) is the primary vehicle for Australia's regional support for the ASEAN Economic Community (AEC). It supports ASEAN's priorities of advancing economic integration, increasing competitiveness and working to narrow the development gap among ASEAN member states. AADCP II will continue the support provided to ASEAN by contributing to the establishment of the AEC. It will achieve this by: strengthening the ASEAN Secretariat's institutional capacity to effectively implement its mandate; providing timely and high quality economic research and policy advice on priority regional economic integration issues; and supporting regional mechanisms/ capacity for implementation of selected high priority AEC Blueprint activities. As recommended by Midterm review 2012, AADCP II  was extended to another four years. The total value of this initiative is $60 million over 9 years, of which $57 million is granted for the ASEAN Secretariat to implement program activities and $3 million is held by Australian Government for program management costs (monitoring and review, program management staff).",,
khm2_1006,Asia Seed Industry Development Training,ASIA SEED INDUSTRY DEVELOPMENT TRAINING,To improve capacity building for seed quality assurance system and exchange the recent information on seed industry among the participating countries for the developement of Asian seed industry,,
khm2_1007,Asia. Capacity builing,ASIA. CAPACITY BUILING,Capacity building with focus on organising and training of building and construction workers,,
khm2_1008,Asian Development Bank Trade Finance Program Expansion,ASIAN DEVELOPMENT BANK TRADE FINANCE PROGRAM EXPANSION,Asian Development Bank Trade Finance Program Expansion,,
khm2_1009,"Asian elephant conservation education through the Kouprey Express, Cambodia.","ASIAN ELEPHANT CONSERVATION EDUCATION THROUGH THE KOUPREY EXPRESS, CAMBODIA.","?The purpose of this project is to continue to fund the only environmental education team in Cambodia, and brings the plight of the Asian elephant and ivory trade to the Cambodian public. The project has expanded its reach and scope via a MoU with the Government of Cambodia to include national schools and communities in Phnom Penh and Preah Sihanouk, home to Cambodia's largest port. The Kouprey Express Environmental Education Program (KE) consists of a curriculum that builds the capacities of students and teachers through a national awareness campaign that highlights poaching, wildlife trade, habitat loss and habitat degradation and fragmentation. A strong anti-ivory message aims to reduce local and regional demand and complicity in the transport of ivory into, through, and out of Cambodia. Specific project activities will include: 1) delivery of education curriculum to rural schools in the Cardamom Mountains, Kompong Som and Phnom Penh, focusing on threats to flagship species; 2) improving the understanding of key environmental issues among teachers, community educators, and leaders through training, staff development, monitoring and evaluation, and provide multiple-use long lasting educational materials; 3) conduct field trips to Phnom Tamao Wildlife Rescue Center for students and community members; 4) conducting 15+ interactive hands-on Community Night Shows; 5) conduct anti-ivory and wildlife ID trainings with Customs and Excise officers at primary points of entry; 6) raise awareness on the devastating effects of the illegal wildlife trade with a focus on elephants and ivory through community outreach programs, installation of billboards, and posting hotline stickers on 10 tuk-tuks in Phnom Penh, promoting Wildlife Alliance's 24-hour nationwide wildlife crime hotline. This project's on-the-ground elephant protection and anti-ivory campaign and education and community outreach program combined with the recipient's on-going work in wildlife crime law enf",,
khm2_1010,"Asian elephant conservation education through the Kouprey Express, Cambodia.","ASIAN ELEPHANT CONSERVATION EDUCATION THROUGH THE KOUPREY EXPRESS, CAMBODIA.","?The purpose of this project is to continue to fund the only environmental education team in Cambodia, and brings the plight of the Asian elephant and ivory trade to the Cambodian public. The project has expanded its reach and scope via a MoU with the Government of Cambodia to include national schools and communities in Phnom Penh and Preah Sihanouk, home to Cambodia's largest port. The Kouprey Express Environmental Education Program (KE) consists of a curriculum that builds the capacities of students and teachers through a national awareness campaign that highlights poaching, wildlife trade, habitat loss and habitat degradation and fragmentation. A strong anti-ivory message aims to reduce local and regional demand and complicity in the transport of ivory into, through, and out of Cambodia. Specific project activities will include: 1) delivery of education curriculum to rural schools in the Cardamom Mountains, Kompong Som and Phnom Penh, focusing on threats to flagship species; 2) improving the understanding of key environmental issues among teachers, community educators, and leaders through training, staff development, monitoring and evaluation, and provide multiple-use long lasting educational materials; 3) conduct field trips to Phnom Tamao Wildlife Rescue Center for students and community members; 4) conducting 15+ interactive hands-on Community Night Shows; 5) conduct anti-ivory and wildlife ID trainings with Customs and Excise officers at primary points of entry; 6) raise awareness on the devastating effects of the illegal wildlife trade with a focus on elephants and ivory through community outreach programs, installation of billboards, and posting hotline stickers on 10 tuk-tuks in Phnom Penh, promoting Wildlife Alliance's 24-hour nationwide wildlife crime hotline. This project's on-the-ground elephant protection and anti-ivory campaign and education and community outreach program combined with the recipient's on-going work in wildlife crime law enfor",,
khm2_1011,Asian Elephant Conservation Fund,ASIAN ELEPHANT CONSERVATION FUND,"The purpose of this project is to identify Asian elephant hotspots within the south-eastern Cardamom Mountains Landscape to inform future monitoring programs and management response, and support communities to mitigate human-elephant conflict (HEC). Grantee will, 1) Conduct fecal concentration surveys within the eastern and southern Cardamom Mountains Landscape to identify elephant hotspots, by end 2014; 2) Reduce human-elephant conflict through strengthening local management of human-elephant conflict at key sites.",,
khm2_1012,Asian Elephant Conservation Fund,ASIAN ELEPHANT CONSERVATION FUND,"The purpose of this project is to, (1) ensure that conservation efforts for the Asian elephant in Cambodia are enhanced through the development of a National Action Plan, (2) evaluate distribution and intensity of human-elephant conflict (HEC) in Cambodia and the effectiveness of mitigation methods, and, (3) reduce HEC and enhance and strengthen local management of HEC.",,
khm2_1013,Asian Elephant Conservation Fund,ASIAN ELEPHANT CONSERVATION FUND,"The purpose of this project is to, (1) increase the intensity of field monitoring by law enforcement staff in and around elephant hotspots, (2) improve capacity to monitor existing forest encroachment, and inform the project in real-time of emerging threats, using advanced technologies, and adapt management strategies accordingly, and (3) establish a community-based patrolling system for monitoring remote parts of the project area that are under threat from deforestation, but one that ranger patrols are able to access only infrequently.",,
khm2_1014,Asian Elephant Conservation Fund,ASIAN ELEPHANT CONSERVATION FUND,"The purpose of this project is to: 1) Continue delivery of education curriculum to rural schools in the Cardamom Mountains and expand this outreach into national schools in Kompong Som and Phnom Penh, focusing on threats to Cambodia's flagship species; 2) Continue capacity and understanding of key environmental issues among teachers, community educators, and community leaders through training, staff development, monitoring and evaluation, and provide multiple-use long lasting educational materials; 3) Complement environmental education awareness of both rural students and community members to reinforce lessons from the classroom through an anticipated 20 field trips to Phnom Tamao Wildlife Rescue Center for students and community members from around the country; 4) Continue building environmental awareness and pride in Cambodia's natural heritage among students and communities through interactive hands-on Community Night Shows, which complement our work in schools. A minimum of 15 Community Night Shows will be conducted in the coming project year in Koh Kong and beyond; 5) Raise community awareness among Cambodians on a nationwide level regarding the devastating effects of the illegal wildlife trade, destruction of habitats, and other factors threatening Cambodia's wildlife through large-scale signage and outreach activities via collaboration and engagement with national ministries, NGOs, and other institutions; 6) Complement conservation awareness-raising and large signage outreach efforts by installing matching signs and hotline stickers on 10 tuk-tuks in Phnom Penh for one year, publicizing the illegality of trading wildlife and promoting Wildlife Alliance's 24-hour nationwide wildlife crime hotline.",,
khm2_1015,Asian Elephant Conservation Fund,ASIAN ELEPHANT CONSERVATION FUND,"The purpose of this project is to: 1) Protect elephants and resolve conflict situations, providing ranger protection to any 'conflict' animals and guidance to local villagers; 2) Provide on-the-job training to rangers to improve anti-poaching patrols; 3) Provide wildlife law enforcement. Seize snares, traps, guns, vehicles and chainsaws. Bring perpetrators to court; 4) Increase number of cases prosecuted in court; 5) Maintain signs and demarcation posts which delineate community land and State forest to show people exactly where boundaries are located; 6) Monitor elephant habitat through daily patrols to avoid forest fires and stop encroachment on forestland.",,
khm2_1016,Asian Elephant Conservation Fund,ASIAN ELEPHANT CONSERVATION FUND,The recipient will collect important data on Asian elephant population in the northern half of the Phnom Samkos Wildlife Sanctuary (PSWS). Elephant data from this area is urgently needed to help strengthen the existing capacity of the PSWS to monitor and,,
khm2_1017,Assessment of Budget Support Eligibility criteria 2016 and 2017,ASSESSMENT OF BUDGET SUPPORT ELIGIBILITY CRITERIA 2016 AND 2017,Assessment of Budget Support Eligibility criteria 2016 and 2017,,
khm2_1018,Assisi Aid Projects: Core Funding,ASSISI AID PROJECTS: CORE FUNDING,"The Australia - Non-Government Organisations (NGO) Cooperation Program (ANCP) subsidises the poverty reduction activities of accredited Australian NGOs.  Australian NGOs supported through ANCP must demonstrate a strong level of Australian community support, and have been through a rigorous accreditation process.  The total value of this multi-country program is $627.4 million over 4 years, starting 2013-14.",,
khm2_1019,Association of Councils Enhanc,ASSOCIATION OF COUNCILS ENHANC,ACES project Ã± Associations of Councils Enhanced Services Ã± is aimed at turning the Associations of Sub-national Administration Councils into an effective representative of local voices for democratic development.,,
khm2_1020,Association of the Blind in Cambodia - Capacity building,ASSOCIATION OF THE BLIND IN CAMBODIA - CAPACITY BUILDING,Inclusive education for blind and partially sighted children.,,
khm2_1021,Association of the Blind in Cambodia - Capacity building,ASSOCIATION OF THE BLIND IN CAMBODIA - CAPACITY BUILDING,Learning blind and partially sighted persons in skills such as orientation and mobility and vocational skills.,,
khm2_1022,Association of the Blind in Cambodia - Capacity building,ASSOCIATION OF THE BLIND IN CAMBODIA - CAPACITY BUILDING,Organisational strenghtening of Association of the Blind Cambodia. Promoting democratic rights for blind and partially sighted persons. Advocacy work.,,
khm2_1023,Association of the Blind in Cambodia - Capacity building,ASSOCIATION OF THE BLIND IN CAMBODIA - CAPACITY BUILDING,Rehabilitation of blind and partially sighted. Health forums for women.,,
khm2_1024,AusAID Development Research Awards Scheme: 2012 Health Sector,AUSAID DEVELOPMENT RESEARCH AWARDS SCHEME: 2012 HEALTH SECTOR,"The AusAID Development Research Awards Scheme (ADRAS) is AusAID's flagship competitive research program, funding primary research projects to improve the quality and effectiveness of Australian aid in developing countries. Funding under this initiative supports the ADRAS Research on priority development themes to inform policy development including mining for development, disability inclusion, gender equality, education, health and needs in Africa. The total value of this initiative is $32.9 million over 3 years, starting 2012-13.",,
khm2_1025,Australia - Non-Government Organisations Cooperation Program 2013-14,AUSTRALIA - NON-GOVERNMENT ORGANISATIONS COOPERATION PROGRAM 2013-14,Australia - Non-Government Organisations Cooperation Program 2013-14,,
khm2_1026,Australia Awards Fellowships - 2014,AUSTRALIA AWARDS FELLOWSHIPS - 2014,"The Australia Awards are international scholarships and fellowships funded by the Australian Government offering the next generation of global leaders an opportunity to undertake study, research development and attain formal qualifications. The Awards strive to develop leadership potential and stimulate lasting change by empowering a global network of talented individuals through high-quality education experiences in Australia and overseas. Recipients return home with new ideas and knowledge, and the ability to make a significant contribution to their home countries as leaders in their field. Funding under this initiative supports the global delivery for the 2014 Intake and is valued at $393.2 million over 8 years, starting 2013-14.",,
khm2_1027,Australia Awards Scholarships - Intake 2015,AUSTRALIA AWARDS SCHOLARSHIPS - INTAKE 2015,"Australia Awards Scholarships are international scholarships funded by the Australian Government offering the next generation of global leaders an opportunity to undertake study, research development and attain formal qualifications. The Awards strive to develop leadership potential and stimulate lasting change by empowering a global network of talented individuals through high-quality education experiences in Australia and overseas. Recipients return home with new ideas and knowledge, and the ability to make a significant contribution to their home countries as leaders in their field. Funding under this initiative supports the global delivery for the 2015 Intake and is valued at $296 million over 9 years, starting 2014-15.",,
khm2_1028,Australia Awards Scholarships: 2015 Intake,AUSTRALIA AWARDS SCHOLARSHIPS: 2015 INTAKE,Australia Awards Scholarships: 2015 Intake,,
khm2_1029,Australia Awards Scholarships: 2015 Intake Asia Adminsitrative Support and Delivery,AUSTRALIA AWARDS SCHOLARSHIPS: 2015 INTAKE ASIA ADMINSITRATIVE SUPPORT AND DELIVERY,"Australia Awards Scholarships are international scholarships funded by the Australian Government offering the next generation of global leaders an opportunity to undertake study, research development and attain formal qualifications. The Awards strive to develop leadership potential and stimulate lasting change by empowering a global network of talented individuals through high-quality education experiences in Australia and overseas. Recipients return home with new ideas and knowledge, and the ability to make a significant contribution to their home countries as leaders in their field. Funding under this initiative supports the global delivery for the 2015 Intake and is valued at $296 million over 9 years, starting 2014-15.",,
khm2_1030,Australia Awards Scholarships: 2016 Intake,AUSTRALIA AWARDS SCHOLARSHIPS: 2016 INTAKE,Australia Awards Scholarships: 2016 Intake,,
khm2_1031,Australia Awards Scholarships: Australian Leadership Awards and Australian Development Scholarships Studying at Australian Tertiary Institutions,AUSTRALIA AWARDS SCHOLARSHIPS: AUSTRALIAN LEADERSHIP AWARDS AND AUSTRALIAN DEVELOPMENT SCHOLARSHIPS STUDYING AT AUSTRALIAN TERTIARY INSTITUTIONS,"Australian Scholarships (AS) is a five year initiative combining scholarship programs managed by the Australian Department of Education, Science and Technology (DEST) and AusAID under the one banner. AS comprises three key scholarships programs: DEST's Endeavour Scholarships; AusAID's Australian Development Scholarships (ADS) and the new Australian Leadership Awards (ALA) also managed by AusAID. This initiative funds all costs assocaited with the placement and education of developing nationals at Australian teriary institutions. The total value of this initiative is $306.0 million over 12 years, starting 2006-07.",,
khm2_1032,Australia Awards: Cambodia Development Scholarships,AUSTRALIA AWARDS: CAMBODIA DEVELOPMENT SCHOLARSHIPS,"Australian Scholarships (AS) is a five year initiative combining scholarship programs managed by DEST and AusAID under the one banner. AS comprises three key scholarships programs: DEST's Endeavour Scholarships; AusAID's Australian Development Scholarships (ADS) and the new Australian Leadership Awards (ALA) also managed by AusAID. This initiative funds the administration, program costs and management of Australian Scholarships programs. The total value of this initiative is $306.0 million over 12 years, starting 2006-07.",,
khm2_1033,Australia Awards: Cambodia Development Scholarships 2011 Intake,AUSTRALIA AWARDS: CAMBODIA DEVELOPMENT SCHOLARSHIPS 2011 INTAKE,"Funding under this initiative provides ongoing support under the Australian Development Scholarships (ADS) to Cambodian nationals (who are part of the 2011 ADS intake) for their in-Australia costs. Expenses under this funding include tuition fees and stipends for Cambodians to study in Australia tertiary institutions. This initiative reflects AusAID's commitment to increase the number of ADS awarded annually from 25 to 50 by the financial year 2013-14. The total value of this initiative is $4.3 million over 8 years, starting 2010-11.",,
khm2_1034,Australia Development Research Awards: Health Sector,AUSTRALIA DEVELOPMENT RESEARCH AWARDS: HEALTH SECTOR,"The Australia Development Research Awards Scheme (ADRAS) is a competitive research program, funding primary research projects to improve the quality and effectiveness of Australian aid in developing countries. Funding under this initiative supports the ADRAS Research on priority development themes to inform policy development including mining for development, disability inclusion, gender equality, education, health and needs in Africa. The total value of this initiative is $32.9 million over 3 years, starting 2012-13.",,
khm2_1035,Australia Mekong - Non Government Organisations Engagement Platform,AUSTRALIA MEKONG - NON GOVERNMENT ORGANISATIONS ENGAGEMENT PLATFORM,Australia Mekong - Non Government Organisations Engagement Platform,,
