sdg_id,title,short_description,long_description
khm_1151,Cambodia: Flood Emergency Rehabilitation Project,"Transportation (Roads and highways): 50, Education (General education sector): 24, Agriculture, fishing, and forestry (Irrigation and drainage): 12, Water, sanitation and flood protection (Flood protection): 11, Public Administration, Law, and Justice (Central government administration): 3","The Flood Emergency Rehabilitation Project's main objective is to restore economic, and social infrastructure, damaged as a result of the year 2000 floods, while also provide indirect support in the recovery of rural production, and incomes, for although the project is not targeted at the poor, it would indeed assist the poor, who are the majority in the project area. Construction works include the rehabilitation of roads, flood control, and irrigation systems, in addition to schools rehabilitation. Moreover, the project will assist the Government in formulating a long-term strategy, aimed at reducing the country's vulnerability to flooding. Nonetheless, potential risks include the occurrence of flooding during project implementation, therefore damaging project investments, and, weak implementation capacity, and delays due to slow procurement processes. However, implementation risks will be minimized by using existing agencies, while damage from recurring floods would be minimized by assisting the Government in developing a long-term strategy to reduce vulnerability to floods."
khm_1836,EDUCATION DE BASE - FORMATION ENSEIGNANTS ( BETT )  3 PROVINCES,EDUCATION DE BASE - FORMATION ENSEIGNANTS ( BETT ) 3 PROVINCES,"Background: De belangrijkste karakteristieken van het onderwijssysteem zijn: de onderbvertegenwoordiging van kinderen van arme gezinnen en meisjes, hoge 'repitition and dropout rates', gebrek aan didactisch materieel en aan gevormde en gemotiveerde leerkrachten, beperkte overheidsfinancien voor de onderwijssector. Target Group: Ongeveer 3.000 personeelsleden in onderwijssector, tussen de 3.125 en 5.555 beursstudenten en indirect 575.000 lagere schoolkinderen en 57.000 middelbare schoolkinderen in de 3 betrokken provincies. General Purpose: Bijdragen aan het reduceren van de armoede in conformiteit met het tweede economisch en sociaal ontwikkelingsplan en met de milleniumdoelstelling voor het bestrijden van de extreme armoede. Specific purpose: Bijdragen aan de kwaliteitsverbetering en aan de gelijkwaardige toegang tot het basisonderwijs in de 3 provincies. Expected results: De resultaten en activiteiten hebben betrekking op de bouw en herstelling van de schoolinfrastructuur, op het verbeteren van de kwaliteit van het basisonderwijs en op de capaciteitsontwikkeling voor planning, monitoring en management op het niveau van de provincies, districten en scholen. Toekennen van studiebeurzen om de armsten te helpen het basisonderwijs te voltooien ('equity fund')."
khm_1013,BPR/ISP for Customs Modernization of a developing country,BPR/ISP FOR CUSTOMS MODERNIZATION OF A DEVELOPING COUNTRY,Provision of our successful kow-how of developing on Customs e-clearance system for the Customs Modernization of a developing country.Support of capacity building on Customs officers of a developing country.Connection of propagation on Korea Customs e-clearance system.
khm_2958,Mekong Subregion Program Management - Cambodia,MEKONG SUBREGION PROGRAM MANAGEMENT - CAMBODIA,
khm_0430,,AGRICULTURAL POLICY & ADMIN. MGMT,"Following a meeting in September 2004 with Desk and Research Policy section, University of Sydney reconvened their åÒCambodiaåÓ group to discuss our interest in complementing their research program with assistance to strengthen local research capacity in ar"
khm_1051,Cambodia ADS - Costs in Australia,CAMBODIA ADS - COSTS IN AUSTRALIA,"ADS provides scholarships for post-graduate training in Australia for Cambodian public sector officials.Following a review of the program in 1999, students are now beingselected from a broadened pool of 27 Ministries and agencies with priority in nominations still being given to the Ministries associated with our sectoral focus (ie agriculture, private sector development, legal and judicial reform, governance, disaster preparedness, mine action and food security).The program commenced in 1994.Around 20 new scholarships are provided each year.The ADS allocation from FY 2005/06 to FY 07/08 is $2,350,656."
khm_0468,,FREE FLOW OF INFORMATION,To enable youth to become active participants in the national debate over transitional justice and impunity with respect to the Khmer Rouge era in Cambodia. DC-Cam will publish a history textbook of the Democratic Kampuchea period for high school students as well as offer a course on comparative genocide studies at the Royal Phnom Penh University.
khm_4695,White-shouldered Ibis conservation programme,GENERAL BUDGET SUPPORT,
khm_4118,Support for families affected by Cambodian Railway,SUPPORT FOR FAMILIES AFFECTED BY CAMBODIAN RAILWAY,"AusAID will contribute funds through the Asian Development Bank to upgrade the national railway of Cambodia: southern railway (254km from Sihanoukville to Phnom Penh) and northern railway (388 km from Phnom Penh to Poipet on Thai border). The majority of this funding will purchase rail sleepers, fund rehabilitation activities, and undertake related public works and upgrades at railway stations. The improved rail line will increase container traffic and trade between Cambodia and its neighbours, and reduce costs associated with road maintenance. The total value of this initiative is $26.6 million over a 6 year period, starting 2008-09."
khm_1158,CAMBODIA: Social Marketing,CAMBODIA: SOCIAL MARKETING,
khm_3620,RD25 ADAF:CAMBODIA:F,WATER SUPPLY & SANIT. - LARGE SYST.,
khm_4150,SUPPORT TO CMVIS,SUPPORT TO CAMBODIA MINE VICTIM INFORMATION SYSTEM,"THE OVERALL GOAL OF THE PROJECT IS TO CONTRIBUTE TO THE PROTECTION OF MINE AND UXO AFFECTED COMMUNITIES, THE PREVENTION OF MINE AND UXO ACCIDENTS AND THE PROVISION OF SUPPORT TO MINE ACCIDENT SURVIVORS. THE SPECIFIC OBJECTIVE OF THE PROJECT RELATES TO THE"
khm_4147,Support to an Independent National Audit Authority,SUPPORT TO AN INDEPENDENT NATIONAL AUDIT AUTHORITY,The National Audit Authority (NAA) is a supreme financial audit institution corresponding to international standards.
khm_2567,Improvement of infrastructure in the children s village of Tani,IMPROVEMENT OF INFRASTRUCTURE IN THE CHILDREN S VILLAGE OF TANI,Verbesserung der Infrastruktur in Tani-Kinderdorf
khm_1773,DOCUMENTATION CENTER,HUMAN RIGHTS,
khm_1581,"CVCACambodiaReduction of risk factors associated with tobacco, alcohol, drugs, unhealthy diets, physical inactivity and unsafe sex","CVCA: CAMBODIAREDUCTION OF RISK FACTORS ASSOCIATED WITH TOBACCO, ALCOHOL, DRUGS, UNHEALTHY DIETS, PHYSICAL INACTIVITY AND UNSAFE SEX",Medical services
khm_4597,University of Victoria - Centre of Asia Pacific Initiatives - International Internships 2010-2011 / University of Victoria - Centre of Asia Pacific Initiatives - Stages internationaux 2010-2011,SME DEVELOPMENT,"This project is part of CIDA's International Youth Internship Program (IYIP), funded by Canada's Youth Employment Strategy (YES). It is designed to offer young Canadian post-secondary graduates the opportunity to gain professional experience through international cooperation work. As a general rule, CIDA provides up to $15,000 per internship to Canadian organizations that manage the internship and recruit interns. / Ce projet fait partie du programme de stages internationaux pour les jeunes (PSIJ) de l'ACDI, programme financÌ© par la StratÌ©gie emploi jeunesse (SEJ) du gouvernement du Canada. Le programme offre ÌÊ des jeunes Canadiennes et Canadiens rÌ©cemment diplÌ«mÌ©s (collÌ¬ge ou universitÌ©) une expÌ©rience professionnelle de travail pratique dans le domaine de la coopÌ©ration internationale. L'ACDI verse normalement un maximum de 15 000 $ par stage ÌÊ des organisations canadiennes qui gÌ¬rent les stages et recrutent les stagiaires."
khm_0054,DSS to Support Programme,DSS TO SUPPORT PROGRAMME,
khm_2431,HUMAN DEVELOPMENT AND VOCATIONAL TRAINING FOR 15 GIRLS,HUMAN DEVELOPMENT AND VOCATIONAL TRAINING FOR 15 GIRLS,FORM AID CONTRIBUTION : TECHNICAL COOPERATION
khm_2171,FORMATION EN BELG. VIA BNB,FORMATION EN BELGIQUE,
khm_3953,SOUTHEAST ASIA INTEGRATED DEVELOPMENT,SOUTHEAST ASIA INTEGRATED DEVELOPMENT,1.0 ADPLAN INFORMATION
khm_2471,Humanitarian Mine Action,HUMANITARIAN MINE ACTION,Humanitarian Mine Action - Integrated Mine Action [through Mines Advisory Group]
khm_4418,THE PROJECT FOR RENOVATION OF TECHNICAL SCHOOL FOR MEDICAL CARE,PROJECT FOR RENOVATION OF TECHNICAL SCHOOL FOR MEDICAL CARE,
khm_2720,Justice System,JUSTICE SYSTEM,Improve the capacity and sustainability of civil and criminal justice sector actors and institutions enhance coordination amongst them develop citizen demand for an effective and accountable justice system and develop associations to advocate for all citizens. Justice sector actors and institutions include: police border security prosecutors forensics experts judges court personnel public defenders corrections personnel private bar law schools legal professional associations and tr [East-West Management Institute]
khm_0915,Australia Mekong Non-Government Organisations Engagement Platform Coordinator,AUSTRALIA MEKONG NON-GOVERNMENT ORGANISATIONS ENGAGEMENT PLATFORM COORDINATOR,"The Australia Mekong-NGO Engagement Platform (AM-NEP) will provide advisory and administrative support to Australia's Mekong programs and forms part of the commitment to increase engagement with non-government organisations and the quality of that engagement in delivering a growing aid program. Engagement with NGOs will generally be through competitive grants that are managed by Australia's Mekong program teams at Post and open to Australian, international and potentially local (Mekong region) NGOs where strategy exists. It will run for an initial five years and provide strategic regional resources to strengthen the quality of NGO engagement including: forums for regional dialogue on effective NGO engagement and cross-cutting issues; policy and technical expertise to strengthen sector strategy and activity designs; support to promote monitoring, evaluation and lesson sharing; and administrative support to free up NGO and AusAID time so that staff can increase their focus on development results and effective policy dialogue with development partners. The total value of this initiative is $15.0 million over 6 years, starting 2012-13."
khm_0814,ARH,ADOLESCENT REPRODUCTIVE HEALTH,ADOLESCENT REPRODUCTIVE HEALTH ////// COMPONENTS = FAMILY PLANNING: % ; REPRODUCTIVE HEALTH: 90% ; HIV/AIDS: % ; BASIC RESEARCH IN REPROD. HEALTH: 10%
khm_2665,"Integrated rural development in Kampot Province, Cambodia","INTEGRATED RURAL DEVELOPMENT IN KAMPOT PROVINCE, CAMBODIA","Integrated rural development in Kampot Province, Cambodia"
khm_4265,TESSERE - Hopes for Cambodia,TESSERE - HOPES FOR CAMBODIA,"The project intends to support families living in the island of Koh Dach (Province of Kandaal - Cambodia), in particular women, by helping them to get out of the vicious circle of poverty and improve their quality of life by promoting the development and strengthening the entrepreneurial micro activities related to silk and cotton market and, at the same time, by facilitating the integration of vulnerable groups in the community. The project deals with the problems of the target population in a broad perspective, by integrating vocational training, micro-credit, support to women associations and awareness towards children rights both in Veneto and in Cambodia."
khm_1183,"CAMBODIAN MINE ACTION CENTRE, PROJECT",CAMBODIAN MINE ACTION CENTRE,
khm_3605,Quality education for poor and disadvantaged youth by improving the technical-educational facilities of Don Bosco Vocational School in Kep City,QUALITY EDUCATION FOR POOR AND DISADVANTAGED YOUTH BY IMPROVING THE TECHNICAL-EDUCATIONAL FACILITIES OF DON BOSCO VOCATIONAL SCHOOL IN KEP CITY,Quality education for poor and disadvantaged youth by improving the technical-educational facilities of Don Bosco Vocational School in Kep City
khm_3204,OXFAM FLOOD RESPONSE REHABILITATION COMMUNITY LIVELIHOOD REHABILITATION,OXFAM POST FLOOD REHABILITATION,"to assist 9775 families of flood victims to attain restoration of their livelihoods. The project will operate in seven provinces(Siem Riep, Takeo and Kampong Cham). Will support rehabilitation of community infrastructure, particulary around water and sa"
khm_3154,NOTHILFE - REHABILITIERUNG VON SCHULEN IN ÌÏBERSCHWEMMUNGSGEBIETEN,EMERGENCY/DISTRESS RELIEF,
khm_2037,FEPP Nå¡6,FONDS D'ETUDES ET DE PRÌäPARATION DE PROJETS,FONDS D'ÌäTUDES ET DE PRÌäPARATION DE PROJETS Nå¡6
khm_2971,Migration- Rural Poverty and Community Natural Resource Management in Cambodia,MIGRATION- RURAL POVERTY AND COMMUNITY NATURAL RESOURCE MANAGEMENT IN CAMBODIA,"Cambodia has a long history of migration, dislocation and forced resettlement. Years of strife and turmoil, rapid population growth, and agricultural development have led to a situation where most irrigated and flood-fed land is under cultivation. Land ownership is becoming increasingly skewed and landlessness is growing. In many cases rural labour mobility is an active choice, a diversification strategy based on (rural) labour availability and (urban) work opportunity that contributes to household income and wellbeing. However, there is increasing evidence that loss of land due to accumulated debt and illness forces entire households into distress migration.''A wide range of government and donor policies help shape migration. Nevertheless, migration is generally perceived as an independent phenomenon over which policy has little control. There is a need to assess government policies for their impact on migration and in turn, the incidence and severity of poverty.''This grant will allow researchers at the Royal University of Phnom Penh to examine the relationship between labour mobility and distress migration, and natural resource management. It will place the migration phenomenon in the context of cyclical household processes, community social capital, broad agrarian change, and government and donor policies. The research will explore how different forms of population mobility affect the management of agricultural land and other resources, where these are held by households or managed under externally promoted community-based arrangements."
khm_3563,Provision of Basic Health services in the provinces of Siem Reap & Otdar Meanchey,PROVISION OF BASIC HEALTH SERVICES IN THE PROVINCES OF SIEM REAP & OTDAR MEANCHEY,"PROVISION OF BASIC HEALTH SERVICES IN THE PROVINCES OF SIEM REAP & OTDAR MEANCHEY - - The General objective form the project is to improve the health, especially of mothers and children, thereby contributing to poverty alleviation and socio-economic development in Siem Reap and Otdar Meanchey provinces - The Specific Objective: ''Improved health care seeking, promoting and preventative behaviour with increased availability and equitable access to and usage of quality health services which are affordable to all, for the population of Siem Reap and Otdar Me"
khm_1977,Establishment of Preah Ang Duong Eye Hospital,ESTABLISHMENT OF PREAH ANG DUONG EYE HOSPITAL,Establishment of Preah Ang Duong Eye Hospital
khm_4272,The Cambodian Agricultural Research Fund (CARF) was established in 2002 to provide Cambodian scienti,THE CAMBODIAN AGRICULTURAL RESEARCH FUND (CARF) WAS ESTABLISHED IN 2002 TO PROVIDE CAMBODIAN SCIENTI,
khm_2757,Kampot,KAMPOT,Rehabilitation of the school: provision of materials and furniture (e.g. 110 desks); construction of protected space for children; water tanking and rehabilitation of a pump. Trainings on children's rights and domestic violence for 270 adults of the community.
khm_4142,Support Project for Rural Villiage Micro finance of Cambodia,SUPPORT PROJECT FOR RURAL VILLIAGE MICRO FINANCE OF CAMBODIA,This project is supporting micro-finance fund for Cambodian rural people to get sustainable income source
khm_2744,KAM/IFBWW TRADE UNION EDUCATION,AID THRU NGOS: TRADE UNION EDUCATION,
khm_4416,THE PROJECT FOR REHABILITATION OF BRIDGES ALONG THE MAIN TRUNK ROADS,PROJECT FOR REHABILITATION OF BRIDGES ALONG THE MAIN TRUNK ROADS,
khm_0224,ELECTION ASSISTANCE 2003,ELECTION ASSISTANCE 2003,"THE OBJECTIVE OF AUSTRALIAN ASSISTANCE TO THE CAMBODIA GENERAL ELECTIONS IN JULY 2003 TO IMPROVE REGISTRATION OF VOTERS BY SUPPORTING A PROGRAM OF ON-GOING REGISTRATION, PROVIDE SUPPLEMENTARY VOTER EDUCATION AND SUPPORT A CONTINUATION IN THE TREND TO REDUCED COST OF THE OVERALL GENERAL ELECTION. FOLLOWING PEER REVIEW PROCESSES IT WAS ALSO DECIDED TO RECOMMENDED TO THE MINISTER (APPROVED) THAT $200,000 BE RETAINED TO SUPPORT HUMAN RIGHTS MONITORING GROUPS IN THE LEAD UP TO THE ELECTION IF REQUIRED. HOWEVER, DURING A MONITORING VISIT IN JANUARY, AND SUBSEQUENT POST ATTENDANCE AT DONOR COORDINATION MEETINGS FOR ELECTION ASSISTANCE, IT BECAME EVIDENT THAT THE HUMAN RIGHTS MONITORING ASPECTS FOR THE PERIOD LEADING UP TO THE ELECTIONS WAS WELL ESTABLISHED. WE HAVE SUBSEQUENTLY RECEIVED MINISTERIAL AGREEMENT TO REDIRECT THESE FUNDS TO SUPPORTINCREASED MEDIA ACCESS TO OPPOSITION POLITICAL PARTIES DURING THE CAMPAIGN. UNDP WILL MANAGE THE ASSISTANCE TO THE MINISTRY OF INFORMATION AND ASA WILL BE FORMALLY INCLUDED IN THE REVIEW TEAM TO FURTHER OUR PROJECT"
khm_1218,CAPACITY BUILDING FOR THE CAMBODIAN NATIONAL PETROLEUM AUTHORITY      ,"ADB Sector code: 3201, ADB Sector Name: Conventional Energy",The proposed capacity development technical assistance (TA) aims to support the development of Cambodia's oil and gas industry to allow the government its due share of sector revenue while also fostering greater private sector participation in upstream anÏ«È«Ïµ
khm_1600,DEAF DEVELOPMENT PROGRAMME,DEAF DEVELOPMENT PROGRAMME,TO SUPPORT THE ACTIVITIES OF THE DEAF IN CAMBODIA.
khm_3527,PROMOTION OF SME TERM-LENDING II,PROMOTION OF SME TERM-LENDING II,
khm_0065,Human Rights,HUMAN RIGHTS,"Advance protection of international human rights, including labor rights, not covered under other elements. This element supports governmental and nongovernmental organizations created to protect, promote, and enforce human rights. Support programs to educate governments on incorporating human rights standards and practices into all government activity. [through East-West Management Institute]"
khm_4247,Technical Assistance for Cambodia - Budget and Financial Accountability,TECHNICAL ASSISTANCE FOR CAMBODIA - BUDGET AND FINANCIAL ACCOUNTABILITY,"Improved accountability through clarification of roles, functions and responsibilities within levels of government: improve alignment of Public Investment Plan and Budget Strategic Plans; assist in developing a full schedule of budget entities for central and provincial governments and budget managers; define financial responsibilities between managerial levels for improved accountability. Develop a financial freedoms and flexibility framework identifying freedoms and flexibilities to be given to budget entities that meet agreed criteria with regards to satisfactory resource management. Review and improve the new chart of accounts and budget classification in terms of progressive enhancement and implementation of the administrative, functional, economic and other classification segments. Improve and expand implementation of Program Budgeting. Improve the comprehensiveness and integration of the Budget, including: policy development on improvements within Medium Term Expenditure Framework and Budget Strategic Plans; and incorporation of further off-budget expenditure and revenues into the annual budget (including coverage of donor funds)."
khm_0157,Cambodia Initiative for Disability Inclusion,CAMBODIA INITIATIVE FOR DISABILITY INCLUSION,"The Landmine Survivor Assistance Program (LSAP) will be known as the Cambodia Initiative for Disability Inclusion (CIDI) from 2010-2012 to reflect the inclusion of assistance to landmine survivors into a broader disability initiative. The goal of CIDI is to ÛÏimprove the quality of life of people with disabilities in Cambodia by supporting national efforts towards addressing the risks, causes and consequences of disabilityÛ. CIDI has three program outcomes: (1) a supportive policy context which recognise, respects and promotes the rights for people with disabilities; (2) an inclusive and effective resonse to the needs and rights of people with disabilities; and (3) an improved response to those at risk fo disability or death due to weapon contamination. There are a range of activities that will contribute to the goal and outcomes including; supporting the Government of Cambodia to meet its obligations under the UN Convention on the Rights of Persons with Disabilities (CRPD); provision of funding to NGOs and Disabled Peoples Organisations (DPOs) who work with and for people with disabilities to improve their quality of life; and mine risk education and prevention activities. CIDI will work in partnership with the Ministry of Social Affairs, Veterans and Youth Rehabilitation, Cambodian DPOs, Cambodian Red Cross and other key stakeholders in the disability sector in Cambodia."
khm_3045,MOYENS GENERAUX : Services territoriaux (Centres IRD mÌ©tropolitains et Outre-Mer),MOYENS GENERAUX : SERVICES TERRITORIAUX (CENTRES IRD MÌäTROPOLITAINS ET OUTRE-MER),"Progr BioAsie (promouvoir en Asie un haut niveau de collaboration en rÌ©seau. Les thÌ©matiques : biodiversitÌ©, usage durable de substances et de molÌ©cules naturelles dans les domaines : santÌ©, nutrition, agronomie, cosmÌ©tiques et Ì©nergies renouvelables)"
khm_3567,Provision of support to selected partners to become more  impact-focused  and support to CEDT in financial management .,PROVISION OF SUPPORT TO SELECTED PARTNERS TO BECOME MORE IMPACT-FOCUSED AND SUPPORT TO CEDT IN FINANCIAL MANAGEMENT .,Provision of support to selected partners to become more impact-focused and support to CEDT in financial management .
khm_1733,Dispatch of Volunteers,DISPATCH OF VOLUNTEERS,on-the job training
khm_4554,TRUST FUND SUPPORT TO THE DONOR WORKING GROUP ON NATIONAL RESOURCES,TRUST FUND SUPPORT TO THE DONOR WORKING GROUP ON NATIONAL RESOURCES,TO COMPLIMENTAILY STRENGTHEN THE RGC AND DONOR WORKING PRACTICE ON NATURAL RESSOURCE MANAGEMENT ISSUES.
khm_3833,SECOND RURAL WATER SUPPLY AND SANITATION SECTOR PROJECT               ,"ADB Sector code: 3801, ADB Sector Name: Water Supply and Sanitation",
khm_2209,Frame agreement with NGO (Suomen LÌ_hetysseura ry),FRAME AGREEMENT WITH NGO (SUOMEN LÌãHETYSSEURA RY),Chab Dai Child Protection Development Project
khm_3643,REDUCE TRANSMISSION - STI/HIV/AIDS AMONG HIGH-RISK POPULATIONS,BASIC NUTRITION: REDUCE TRANSMISSION - STI/HIV/AIDS AMONG HIGH-RISK POP.,Reduced Transmission of Sexually Transmitted Infections and HIV/AIDS among High-Risk Populations Population/Health/Nutrition CHS - Primary Causes Morbidity/Mortality Breastfeeding/Child Health Services 4: World's population stabilized and human health protected 4.2: Infant and child health and nutrition improved and infant and child mortality reduced
khm_0402,The Cambodian Business & Human Rights Project,THE CAMBODIAN BUSINESS & HUMAN RIGHTS PROJECT,The Cambodian Business & Human Rights Project
khm_3612,Radio National Kampuchea (RNK) Proposal,MEDIA AND FREE FLOW OF INFORMATION,
khm_1327,CIM/2007/027,"Development of conservation farming implements for two-wheeler tractors (power tillers) in Cambodia, Laos and Bangladesh","Development of conservation farming implements for two-wheeler tractors (power tillers) in Cambodia, Laos and Bangladesh"
khm_1584,DAO VERKIEZINGEN CAMBODJA 2003,ELECTIONS CAMBODJA 2003,ONGEVALLENVERZEKERING NL DEELNEMERS EU WAARNEMERSMISSIE PARL. VERKIEZINGEN
khm_4110,"supply of  Fire Engine to Siem Reap, Cambodia","SUPPLY OF FIRE ENGINE TO SIEM REAP, CAMBODIA","supply of Fire Engine to Siem Reap, Cambodia (EATOF Member)"
khm_4232,TARGETING - IDENTIFICATION OF POOR HOUSEHOLDS,TARGETING - IDENTIFICATION OF POOR HOUSEHOLDS,
khm_1112,Cambodia NGO Good Practice Principles,CAMBODIA NGO GOOD PRACTICE PRINCIPLES,"This project is to support the development of Good Practice Principles for NGOs operating in Cambodia. It is estimated that the cost will be $150,000 over FYs 2003-04/2004-05. The project will assist NGOs working in Cambodia to develop a series of Good Pr"
khm_2034,Feasibility study on Wind Energy,,
khm_2038,Field Demonstration on Integrated Rice Fish Culture,FIELD DEMONSTRATION ON INTEGRATED RICE FISH CULTURE,The project is to showcase a model of agriculture techniques on rice fish culture that is easy to replicate among the Cambodian farmers to boost farmers' income from agricultural cultivation
khm_3105,National Endowment for Democracy Grant to Solidarity Center,NATIONAL ENDOWMENT FOR DEMOCRACY GRANT TO SOLIDARITY CENTER,"To encourage greater awareness among labor unions, civil society organizations, and local residents of violations of migrant worker rights in two selected provinces of Cambodia. This project will also seek to promote safe labor migration practices and build understanding of labor rights and international labor standards for migrant workers among labor organizations and workers in Cambodia and to advance the protection of migrant worker rights in the Cambodian legal system."
khm_2044,Finance Assistance to Strengthen Health Systems,FINANCE ASSISTANCE TO STRENGTHEN HEALTH SYSTEMS,"Between 1993 and 2003, Australia provided significant assistance to the health sector in Cambodia though project based assistance for health promotion, primary health care and immunisation. This program of assistance was withdrawn in 2003 in order to refocus aid delivery to the priority sectors of agriculture and governance in line with the Australian Cambodian Country Aid Strategy 2003 ÛÒ 2007.The White Paper on the Australian Governments Overseas Aid Program released in mid 2006, outlined a comprehensive approach to doubling Australia'a aid budget to aproximately AUD4 billion by 2010. This new policy directive identifies four themes for the aid program including increased support to social sectors. As a key theme of the White Paper, Investing in People prioritises health and education and outlines an approach to increased health assistance which focuses on basic services for women and children and on tackling major diseases such as HIV/AIDs and malaria.In response to the White Paper and an expected increase in bilateral funds in 07/08, the Cambodia Program undertook preliminary investigations to assess opportunities for future development assistance to the health sector in Cambodia. In October 2006, an Identification Mission was deployed to Cambodia."
khm_1133,Cambodia Rural Livelihoods and Natural Resources Research Programme,CAMBODIA RURAL LIVELIHOODS AND NATURAL RESOURCES RESEARCH PROGRAMME,Cambodia Rural Livelihoods and Natural Resources Research Programme
khm_4109,SUPPLY CHAIN MANAGEMENT,SUPPLY CHAIN MANAGEMENT,SUPPLY CHAIN MANAGEMENT
khm_2848,Landmanagement and Land Tenure,LANDMANAGEMENT AND LAND TENURE,"The share of Cambodian people possessing legally secured access to land, is socially balanced and has increased due to a spatial planning concept."
khm_1599,DEAF DEVELOPMENT PROGRAMME,ACTIVITIES OF THE DEAF IN CAMBODIA,
khm_3440,"Project for Maternal and Child Health Service Promotion, Svay Ahthor Operational District (Third Year)","PROJECT FOR MATERNAL AND CHILD HEALTH SERVICE PROMOTION, SVAY AHTHOR OPERATIONAL DISTRICT (THIRD YEAR)","Project for Maternal and Child Health Service Promotion, Svay Ahthor Operational District"
khm_4483,Tonle Sap Poverty Reduction and Smallholder Development Project,TONLE SAP POVERTY REDUCTION AND SMALLHOLDER DEVELOPMENT PROJECT,"Poverty reduction of the smallholders living in Tonle Sap lake area. The project will be implemented in four provinces in the Tonle Sap lake eastern part. Project enhances livelihoods of smallholders, improves productivity, creates new job opportunities and improves food security. A special focus are women in rural areas and the creation of job opportunities for them. The project involves several ministries, district and communune authorities. Project enhances good governance in provinces, dirstrict and communes. Project supports use of technological applications, especially ICT, in alleviating poverty and enhancing good agricultural practices as well as building capacity to protect environment. ADB and IFAD support the project."
khm_3750,RURAL AND ECOTOURISTIC PROJECT IN PEAM PROVINCE,RURAL AND ECOTOURISTIC PROJECT IN PEAM PROVINCE,FORM AID CONTRIBUTION : SUPPLIES
khm_2657,INTEGRATED FOOD SECURITY PROGRAMME KAMPOT,INTEGRATED FOOD SECURITY PROGRAMME KAMPOT,
khm_4364,The Project for Flood Protection and Drainage Improvement in the Phnom Penh Capital City (Phase III),THE PROJECT FOR FLOOD PROTECTION AND DRAINAGE IMPROVEMENT IN THE PHNOM PENH CAPITAL CITY (PHASE III),This project improves the drainage system and provides equipment for the cleaning of drainage facilities.
khm_1765,DMH/MR WW Safe the Children,HUMAN RIGHTS,Vertaling van VN-studie inzake Geweld tegen Kinderen
khm_1725,Dispatch of Volunteers,DISPATCH OF VOLUNTEERS,korean class
khm_4049,Strengthening of parliament/Senate,LEGAL AND JUDICIAL DEVELOPMENT,StÌ_rkung des Parlaments/Senat
khm_3079,"Multi-year Training Program for Rural Community Development, Cambodia","MULTI-YEAR TRAINING PROGRAM FOR RURAL COMMUNITY DEVELOPMENT, CAMBODIA","lectures, on-site visits, group discussion and presentation in order 1)To Strengthen capabilities of MRD members in the field of rural community development & SMU, participatory rural development, project cycle management, TOT(Training-for-trainers) in Cambodia, 2)To establish the sustainable development model of rural area, 3)Fostering capacity-building for local trainers concerning each provincial dissemination training"
khm_2934,Maternal and Child Health,REPRODUCTIVE HEALTH CARE,Increase the availability and use of proven life-saving interventions that address the major killers of mothers and children and improve their health and nutrition status including effective maternity care and management of obstetric complications; prevention services including newborn care routine immunization polio eradication safe water and hygiene and micronutrients; improved maternal infant and young child feeding; and treatment of life-threatening childhood illnesses. [World Health Organisation]
khm_3553,Provincial Roads Improvement Project (Sf),PROVINCIAL ROADS IMPROVEMENT PROJECT (SF),"Product type: NEW ADF - The project will (i) improve Cambodia's provincial road network in four provinces -- Kampong Chhnang, Kampong Speu, Prey Viang, and Svay Rieng; (ii) improve the Ministry of Public Works and Transport's (MPWT) road asset management capabilities through an enhanced axle load control program; and (iii) help the MPWT establish a community-based road safety program for the project provinces. The project also supports road design and planning for climate resilience and disaster management, including emergency preparedness, mitigation, and response."
khm_3881,SITE D'ANGKOR - PATRIMOINE ET DÌäVELOPPEMENT,SITE D'ANGKOR - PATRIMOINE ET DÌäVELOPPEMENT,
khm_1204,Canada Fund for Local Initiatives (CFLI) - 2013-2014 / Fonds canadien d'initiatives locales (FCIL) - 2013-2014,CANADA FUND FOR LOCAL INITIATIVES (CFLI) - 2013-2014 / FONDS CANADIEN D'INITIATIVES LOCALES (FCIL) - 2013-2014,Preventing sexual violence and raising awareness of the Convention on the Elimination of Discrimination Against Women.
khm_0259,Humanitarian demining,HUMANITARIAN DEMINING,Demining in order to provide land for reassessment of refugees and improvement economic development
khm_2756,Kampong Thom,KAMPONG THOM,Improvement on living conditions through the promotion of health and hygiene practices: awareness campaign on hygiene directed to 789 children; 250 women participated to trainings on basic health care and prevention of curable diseases.
khm_2854,LANDMINES CAMBODIA PROJECT,LANDMINES CAMBODIA PROJECT,"TO ASSIST CAMBODIA TO STRENGTHEN ITS CAPACITY FOR MINE CLEARANCE, TRAINING/EDUCATION IN LANDMINES CLEARANCE AND RE-EDUCATION OF LAND MINE VICTIMS."
khm_4176,Support to the Decentralisation and Deconcentration Programm,SUPPORT TO THE DECENTRALISATION AND DECONCENTRATION PROGRAMM,National and subnational government bodies carry out their tasks more efficiently and transparently and with greater responsibility towards the citizens.
